,Compound,Mass
96,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + P₁N₃C₆H₁₂,8882.635786
97,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K,8685.608
98,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + OH,8663.647
99,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + C₁₀H₁₄,8780.753827
100,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + P₁N₃C₆H₁₂,8803.721160000001
101,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + OH,8679.621000000001
102,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + C₁₀H₁₄,8796.727827
103,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + P₁N₃C₆H₁₂,8819.695160000001
104,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + OH + C₁₀H₁₄,8774.766827000001
105,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + OH + P₁N₃C₆H₁₂,8797.734160000002
106,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + C₁₀H₁₄ + P₁N₃C₆H₁₂,8914.840987000001
107,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K,8752.543625999999
108,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + OH,8730.582626
109,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + C₁₀H₁₄,8847.689452999999
110,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + P₁N₃C₆H₁₂,8870.656786
111,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + OH,8746.556626
112,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + C₁₀H₁₄,8863.663453
113,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + P₁N₃C₆H₁₂,8886.630786
114,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + OH + C₁₀H₁₄,8841.702453
115,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + OH + P₁N₃C₆H₁₂,8864.669786
116,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + C₁₀H₁₄ + P₁N₃C₆H₁₂,8981.776613
117,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + OH,8667.642
118,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + C₁₀H₁₄,8784.748827
119,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + P₁N₃C₆H₁₂,8807.71616
120,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + OH + C₁₀H₁₄,8762.787827
121,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + OH + P₁N₃C₆H₁₂,8785.75516
122,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,8902.861987
123,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + K + OH + C₁₀H₁₄,8778.761827
124,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + K + OH + P₁N₃C₆H₁₂,8801.72916
